reg_no,batch_code,p1s1,p2s1,p3s1,ts1,as1,gs1,p1s2,p2s2,ts2,as2,gs2,p1s3,p2s3,ts3,as3,gs3,tot,avg,grade,centre,pre_reg_no,session,certi_no,certi_date,trans_no,trans_date,USER,Remarks,EXAM_APPEAR
YS-M32/81-8100050/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,toyeba,,
YS-M32/81-8100051/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,saheli,,
YS-M32/81-8100052/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,saheli,,
YS-M32/81-8100053/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,saheli,,
YS-M32/81-8100054/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,saheli,,
YS-M32/81-8100055/2025,23,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,toyeba,,
YS-M32/81-8100056/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,toyeba,,
YS-M32/81-8100057/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,cic,,
YS-M32/81-8100058/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,saheli,,
YS-M32/81-7200185/2025,35,,,,,,,,,,,,,,,,,,,,M32,YS-M32/72-7200185/2023,81,,,,,,,
YS-M32/81-8100059/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,toyeba,,
YS-M32/81-8100060/2025,23,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,toyeba,,
YS-M32/81-8100061/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,toyeba,,
YS-M32/81-8100062/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,toyeba,,
YS-M32/81-8100063/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,cic,,
YS-M32/81-7200107/2025,35,,,,,,,,,,,,,,,,,,,,M32,YS-M32/72-7200107/2023,81,,,,,,,
YS-M32/81-7200225/2025,35,,,,,,,,,,,,,,,,,,,,M32,YS-M32/72-7200225/2023,81,,,,,,,
YS-M32/81-7200224/2025,35,,,,,,,,,,,,,,,,,,,,M32,YS-M32/72-7200224/2023,81,,,,,,,
YS-M32/81-8100064/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,toyeba,,
YS-M32/81-8100065/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,toyeba,,
YS-M32/81-8100066/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,toyeba,,
YS-M32/81-8100067/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,toyeba,,
YS-M32/81-8100068/2025,23,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,toyeba,,
YS-M32/81-8100069/2025,23,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,saheli,,
YS-M32/81-8100070/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,toyeba,,
YS-M32/81-8100071/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,saheli,,
YS-M32/81-8100072/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,saheli,,
YS-M32/81-8100073/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,cic,,
YS-M32/81-8100074/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,cic,,
YS-M32/81-8100075/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,cic,,
YS-M32/81-8100076/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,cic,,
YS-M32/81-8100077/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,cic,,
YS-M32/81-8100078/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,toyeba,,
YS-M32/81-8100079/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,toyeba,,
YS-M32/81-8100080/2025,23,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,toyeba,,
YS-M32/81-8100081/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,RAKHI DAS,,
YS-M32/81-8100082/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,saheli,,
YS-M32/81-8100083/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,cic,,
YS-M32/81-8100084/2025,23,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,cic,,
YS-M32/81-7900071/2025,35,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7900071/2024,81,,,,,,,
YS-M32/81-8100085/2025,35,,,,,,,,,,,,,,,,,,,,M32,HATKHOLA YCTC,81,,,,,,,
YS-M32/81-8100086/2025,35,,,,,,,,,,,,,,,,,,,,M32,HATKHOLA YCTC,81,,,,,,,
YS-M32/81-8100087/2025,22,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,toyeba,,
YS-M32/81-8100088/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,toyeba,,
YS-M32/81-8100089/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,cic,,
YS-M32/81-8100090/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,cic,,
YS-M32/81-8100091/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,saheli,,
YS-M32/81-8100092/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,toyeba,,
YS-M32/81-8100093/2025,43,,,,,,,,,,,,,,,,,,,,M32,BIRATI TOWN YCTC,81,,,,,,,
YS-M32/81-8100094/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,toyeba,,
YS-M32/81-7900016/2025,35,,,,,,,,,,,,,,,,,,,,M32,YS-M32/79-7900016/2024,81,,,,,,,
YS-M32/81-8100095/2025,23,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,toyeba,,
YS-M32/81-8100096/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,toyeba,,
YS-M32/81-8100097/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,saheli,,
YS-M32/81-8100098/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,saheli,,
YS-M32/81-8100099/2025,23,,,,,,,,,,,,,,,,,,,,M32,YS-M32/80-8000039/2025,81,,,,,,,
YS-M32/81-8100100/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,toyeba,,
YS-M32/81-8100101/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,cic,,
YS-M32/81-8100102/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,cic,,
YS-M32/81-8100103/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,saheli,,
YS-M32/81-8100104/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,saheli,,
YS-M32/81-8100105/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,toyeba,,
YS-M32/81-8100106/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,toyeba,,
YS-M32/81-8100107/2025,24,,,,,,,,,,,,,,,,,,,,M32,,81,,,,,toyeba,,
